iter	Passed	Remaining
580	39676	26906
581	39742	26836
582	39809	26767
583	39875	26697
584	39944	26629
585	40011	26560
586	40079	26491
587	40146	26422
588	40213	26353
589	40281	26285
590	40346	26214
591	40412	26145
592	40484	26079
593	40551	26010
594	40623	25944
595	40692	25876
596	40763	25810
597	40838	25745
598	40906	25677
599	40975	25609
600	41043	25541
601	41116	25475
602	41182	25405
603	41248	25336
604	41319	25269
605	41385	25199
606	41453	25131
607	41520	25062
608	41589	24994
609	41660	24927
610	41726	24858
611	41793	24789
612	41860	24720
613	41928	24651
614	42001	24586
615	42071	24519
616	42140	24450
617	42208	24382
618	42276	24314
619	42341	24244
620	42411	24176
621	42479	24108
622	42547	24039
623	42616	23971
624	42682	23902
625	42749	23833
626	42813	23762
627	42878	23692
628	42946	23623
629	43015	23555
630	43083	23487
631	43150	23418
632	43218	23350
633	43285	23281
634	43359	23216
635	43430	23149
636	43501	23082
637	43575	23017
638	43646	22950
639	43712	22880
640	43778	22811
641	43844	22741
642	43910	22672
643	43979	22604
644	44046	22535
645	44114	22467
646	44180	22397
647	44245	22327
648	44309	22257
649	44375	22187
650	44448	22121
651	44522	22056
652	44589	21987
653	44657	21918
654	44728	21851
655	44796	21783
656	44861	21713
657	44933	21647
658	45006	21581
659	45079	21515
660	45147	21446
661	45212	21377
662	45277	21307
663	45343	21237
664	45409	21168
665	45480	21101
666	45547	21032
667	45620	20966
668	45690	20898
669	45758	20830
670	45825	20761
671	45900	20695
672	45968	20627
673	46038	20560
674	46108	20492
675	46175	20423
676	46246	20356
677	46313	20287
678	46387	20221
679	46455	20153
680	46529	20087
681	46598	20019
682	46665	19950
683	46735	19882
684	46800	19813
685	46865	19743
686	46932	19674
687	47002	19607
688	47069	19538
689	47136	19469
690	47204	19400
691	47269	19331
692	47336	19262
693	47402	19193
694	47471	19125
695	47540	19057
696	47611	18990
697	47680	18921
698	47753	18855
699	47827	18789
700	47895	18720
701	47966	18653
702	48034	18585
703	48104	18517
704	48172	18448
705	48237	18379
706	48302	18309
707	48368	18240
708	48437	18172
709	48508	18105
710	48576	18036
711	48643	17968
712	48710	17899
713	48778	17830
714	48843	17761
715	48881	17682
716	48949	17613
717	49019	17545
718	49092	17479
719	49159	17410
720	49231	17343
721	49310	17279
722	49376	17209
723	49443	17141
724	49513	17073
725	49583	17005
726	49649	16936
727	49714	16867
728	49780	16798
729	49847	16729
730	49885	16651
731	49952	16582
732	50024	16515
733	50093	16447
734	50161	16379
735	50226	16309
736	50292	16241
737	50359	16172
738	50429	16104
739	50501	16037
740	50569	15969
741	50642	15902
742	50710	15834
743	50776	15765
744	50844	15696
745	50914	15629
746	50986	15562
747	51053	15493
748	51120	15424
749	51187	15356
750	51252	15287
751	51318	15218
752	51384	15149
753	51453	15081
754	51523	15013
755	51593	14945
756	51660	14877
757	51727	14808
758	51794	14739
